title,date,reference,url,calificacion,precio,contains,ciudad
Studio apartment on laguito,14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/4823565?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.64,240",128480,"3 huéspedes,Estudio,3 camas,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
Cartagena Laguito Apto 1 hab. para 4 personas,14 jun. – 18 jun.,Conjunto residencial entero en Cartagena,https://www.airbnb.com.co/rooms/41399993?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.65,34",124684,"4 huéspedes,1 habitación,2 camas,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
Bonito apartaestudio cerca al centro histórico,14 jun. – 18 jun.,Loft entero en Cartagena,https://www.airbnb.com.co/rooms/22227183?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.78,154",87600,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
Mar Mulata Apartasuite Loft # 1,14 jun. – 18 jun.,Loft entero en Cartagena,https://www.airbnb.com.co/rooms/38848577?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.37,54",130524,"3 huéspedes,Estudio,1 cama,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
¡Oferta! ¡Habitación en el Centro Histórico!,14 jun. – 18 jun.,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/22398429?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.82,102",76796,"2 huéspedes,1 habitación,1 cama,1 baño privado,Wifi,Aire acondicionado",Cartagena
"Exclusivo y confortable ""LOFT""",14 jun. – 18 jun.,"Loft entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/46159788?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"4.84,44",126144,"4 huéspedes,1 habitación,1 cama,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
"Habitación frente al mar, Centro histórico 307",14 jun. – 18 jun.,"Apartamento entero en Santa Marta (distrito turístico, cultural e histórico)",https://www.airbnb.com.co/rooms/30200287?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"4.65,97",70080,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi",Santa Marta 
El Descanso. Apartaestudio en Taganga.,14 jun. – 18 jun.,Apartamento entero en Taganga,https://www.airbnb.com.co/rooms/13960109?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"4.74,123",94900,"2 huéspedes,1 habitación,2 camas,1 baño,Wifi,Aire acondicionado,Cocina",Santa Marta 
Loft con vista al Mar. Rodadero Santa Marta,14 jun. – 18 jun.,Loft entero en Rodadero de Santa Marta,https://www.airbnb.com.co/rooms/19197841?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"4.57,156",154268,"4 huéspedes,1 habitación,2 camas,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
Apartaestudio 11A en el mejor sitio del Rodadero,14 jun. – 18 jun.,Apartamento entero con servicios incluidos en Gaira,https://www.airbnb.com.co/rooms/48125375?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"4.67,3",103076,"2 huéspedes,Estudio,1 cama,1 baño,Wifi,Aire acondicionado,Cocina",Santa Marta 
Acogedor apartamento y excelente ubicación,14 jun. – 18 jun.,Apartamento entero en Gaira,https://www.airbnb.com.co/rooms/23342306?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,"4.84,85",112841,"4 huéspedes,1 habitación,3 camas,2 baños,Wifi,Aire acondicionado,Piscina,Cocina",Santa Marta 
FRENTE AL MAR EN EL RODADERO 1 HAB 1 BAÑO PISCINAS,14 jun. – 18 jun.,Apartamento entero en Gaira,https://www.airbnb.com.co/rooms/48741787?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=a05ea4f7-6b16-43c7-bd0a-0f5f450ad3e4,,42691,"4 huéspedes,1 habitación,3 camas,1 baño,Wifi,Piscina,Cocina",Santa Marta 
